CCD_KEY,BAT_CODE,BAT_DESC,ISS_CODE,ISS_DESC,Session Categoy,FQPM,MedicalMember,Specialism Count,Panel requirement code,FTA Respondent,Notes
002OC,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),OC,OVERPAYMENT - CAPITAL,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002ON,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),ON,ONE PROJECT,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002OS,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),OS,OVERPAYMENT - STRAIGHTFORWARD,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002OX,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),OX,OVERPAYMENT - COMPLEX,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
002RA,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,1,,,,84,Tribunal Judge,
002RC,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),RC,RATE OF ASSESSMENT/PAYABILITY ISSUES - COMPLEX,1,,,,84,Tribunal Judge,
002VW,02,PERSONAL INDEPENDENT PAYMENT (NEW CLAIM),VW,VERBALLY WITHDRAWN,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003AA,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),AA,INVALID,N/A,,,,,,
003AR,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),AR,ALTERNATIVE DISPUTE RESOLUTION,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003CC,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),CC,CONDITIONS OF ENTITLEMENT - COMPLEX,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003CD,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),CD,CARE (DLA),3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003CE,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),CE,CONDITIONS OF ENTITLEMENT,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003CF,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),CF,CARE/MOBILITY (DLA),3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003CP,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),CP,CIVIL PENALTY,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003DD,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),DD,APPEAL DIRECTLY LODGED,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003EC,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),EC,ECHR,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003EI,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),EI,EXPORTABILITY ISSUES,1,,,,84,Tribunal Judge,
003EX,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),EX,EX LEGISLATION,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003GC,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),GC,GOOD CAUSE,1,,,,84,Tribunal Judge,
003LC,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),LC,DAILY LIVING COMPONENT,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003LE,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),LE,LATE (EXTENDING BACK),1,,,,84,Tribunal Judge,
003MD,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),MD,MOBILITY (DLA),3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003ML,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),ML,DAILY LIVING/MOBILITY,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003MO,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),MO,MOBILITY COMPONENT,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003OC,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),OC,OVERPAYMENT - CAPITAL,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003ON,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),ON,ONE PROJECT,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003OS,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),OS,OVERPAYMENT - STRAIGHTFORWARD,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003OX,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),OX,OVERPAYMENT - COMPLEX,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
003RA,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,1,,,,84,Tribunal Judge,
003RC,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),RC,RATE OF ASSESSMENT/PAYABILITY ISSUES - COMPLEX,1,,,,84,Tribunal Judge,
003VW,03,PERSONAL INDEPENDENT PAYMENT (REASSESSMENT CASE),VW,VERBALLY WITHDRAWN,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
011AA,11,CHILD TRUST FUND,AA,INVALID,N/A,,,,,,
011CP,11,CHILD TRUST FUND,CP,CIVIL PENALTIES,N/A,,,,,,
011DD,11,CHILD TRUST FUND,DD,APPEAL DIRECTLY LODGED,N/A,,,,,,
011FA,11,CHILD TRUST FUND,FA,FRAUDULENT ACCOUNT,N/A,,,,,,
011FI,11,CHILD TRUST FUND,FI,FINANCIAL PROVIDER,N/A,,,,,,
011NP,11,CHILD TRUST FUND,NP,AMOUNT PAID,N/A,,,,,,
011NV,11,CHILD TRUST FUND,NV,NO VOUCHER,N/A,,,,,,
012AA,12,HEALTH IN PREGNANCY GRANT,AA,INVALID,N/A,,,,,,
012CE,12,HEALTH IN PREGNANCY GRANT,CE,CONDITIONS OF ENTITLEMENT,N/A,,,,,,
012CP,12,HEALTH IN PREGNANCY GRANT,CP,CIVIL PENALTIES,N/A,,,,,,
012HT,12,HEALTH IN PREGNANCY GRANT,HT,HABITUAL RESIDENCE TEST,N/A,,,,,,
013AA,13,ATTENDANCE ALLOWANCE,AA,INVALID,N/A,,,,,,
013AR,13,ATTENDANCE ALLOWANCE,AR,ALTERNATIVE DISPUTE RESOLUTION,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013CC,13,ATTENDANCE ALLOWANCE,CC,CONDITIONS OF ENTITLEMENT - COMPLEX,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013CD,13,ATTENDANCE ALLOWANCE,CD,CARE (DLA),3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013CE,13,ATTENDANCE ALLOWANCE,CE,CONDITIONS OF ENTITLEMENT,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013CF,13,ATTENDANCE ALLOWANCE,CF,CARE/MOBILITY (DLA),3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013CP,13,ATTENDANCE ALLOWANCE,CP,CIVIL PENALTIES,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013DD,13,ATTENDANCE ALLOWANCE,DD,APPEAL DIRECTLY LODGED,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013DQ,13,ATTENDANCE ALLOWANCE,DQ,DISABLEMENT QUESTION,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013EC,13,ATTENDANCE ALLOWANCE,EC,ECHR,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013EI,13,ATTENDANCE ALLOWANCE,EI,EXPORTABILITY ISSUES,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013EX,13,ATTENDANCE ALLOWANCE,EX,EX LEGISLATION,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013GC,13,ATTENDANCE ALLOWANCE,GC,GOOD CAUSE,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013LE,13,ATTENDANCE ALLOWANCE,LE,LATE (EXTENDING BACK),3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013MD,13,ATTENDANCE ALLOWANCE,MD,MOBILITY (DLA),3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013OC,13,ATTENDANCE ALLOWANCE,OC,OVERPAYMENT - CAPITAL,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013ON,13,ATTENDANCE ALLOWANCE,ON,ONE PROJECT,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013OS,13,ATTENDANCE ALLOWANCE,OS,OVERPAYMENT - STRAIGHTFORWARD,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013OX,13,ATTENDANCE ALLOWANCE,OX,OVERPAYMENT - COMPLEX,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013RA,13,ATTENDANCE ALLOWANCE,RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
013RC,13,ATTENDANCE ALLOWANCE,RC,RATE OF ASSESSMENT/PAYABILITY ISSUES - COMPLEX,3,,,,"84, 58, 44","Tribunal Judge, Tribunal Member Medical, Tribunal Member Disability",
014DD,14,DIFFUSE MESOTHELIOMA,DD,APPEAL DIRECTLY LODGED,5,,,1,"84, 58","Tribunal Judge, Tribunal Member Medical",If x1 specialism recorded
014DD,14,DIFFUSE MESOTHELIOMA,DD,APPEAL DIRECTLY LODGED,6,,,2,"84, 58, 58","Tribunal Judge, Tribunal Member Medical, Tribunal Member Medical",If x2 specialisms recorded
014MN,14,DIFFUSE MESOTHELIOMA,MN,NEW SCHEME (MESO),5,,,1,"84, 58","Tribunal Judge, Tribunal Member Medical",If x1 specialism recorded
014MN,14,DIFFUSE MESOTHELIOMA,MN,NEW SCHEME (MESO),6,,,2,"84, 58, 58","Tribunal Judge, Tribunal Member Medical, Tribunal Member Medical",If x2 specialisms recorded
016AA,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),AA,INVALID,N/A,,,,,,
016CC,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),CC,CONDITIONS OF ENTITLEMENT - COMPLEX,1,,,,84,Tribunal Judge,
016CC,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),CC,CONDITIONS OF ENTITLEMENT - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016CE,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),CE,CONDITIONS OF ENTITLEMENT,1,,,,84,Tribunal Judge,
016CE,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),CE,CONDITIONS OF ENTITLEMENT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016CP,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),CP,CIVIL PENALTIES,1,,,,84,Tribunal Judge,
016CP,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),CP,CIVIL PENALTIES,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016DD,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),DD,APPEAL DIRECTLY LODGED,1,,,,84,Tribunal Judge,
016DD,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),DD,APPEAL DIRECTLY LODGED,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016EC,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),EC,ECHR,1,,,,84,Tribunal Judge,
016EC,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),EC,ECHR,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016EX,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),EX,EX LEGISLATION,1,,,,84,Tribunal Judge,
016EX,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),EX,EX LEGISLATION,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016GC,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),GC,GOOD CAUSE,1,,,,84,Tribunal Judge,
016GC,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),GC,GOOD CAUSE,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016LE,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),LE,LATE (EXTENDING BACK),1,,,,84,Tribunal Judge,
016LE,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),LE,LATE (EXTENDING BACK),2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016OC,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),OC,OVERPAYMENT - CAPITAL,1,,,,84,Tribunal Judge,
016OC,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),OC,OVERPAYMENT - CAPITAL,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016ON,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),ON,ONE PROJECT,1,,,,84,Tribunal Judge,
016ON,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),ON,ONE PROJECT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016OS,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),OS,OVERPAYMENT - STRAIGHTFORWARD,1,,,,84,Tribunal Judge,
016OS,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),OS,OVERPAYMENT - STRAIGHTFORWARD,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016OX,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),OX,OVERPAYMENT - COMPLEX,1,,,,84,Tribunal Judge,
016OX,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),OX,OVERPAYMENT - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016PF,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),PF,PERSONS FROM ABROAD,1,,,,84,Tribunal Judge,
016PF,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),PF,PERSONS FROM ABROAD,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016RA,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,1,,,,84,Tribunal Judge,
016RA,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),RA,RATE OF ASSESSMENT/PAYABILITY ISSUES,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016RC,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),RC,RATE OF ASSESSMENT/PAYABILITY ISSUES - COMPLEX,1,,,,84,Tribunal Judge,
016RC,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),RC,RATE OF ASSESSMENT/PAYABILITY ISSUES - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016RG,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),RG,RECIPROCAL AGREEMENT,1,,,,84,Tribunal Judge,
016RG,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),RG,RECIPROCAL AGREEMENT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
016SU,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),SU,SUSPENSIONS,1,,,,84,Tribunal Judge,
016SU,16,CHILD BENEFIT/CHILD BENEFIT(LONE PARENT),SU,SUSPENSIONS,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022AA,22,CHILD SUPPORT ASSESSMENTS,AA,INVALID,N/A,,,,,,
022CA,22,CHILD SUPPORT ASSESSMENTS,CA,CHILD SUPPORT REFORM CONVERSION APPEALS,1,,,,84,Tribunal Judge,
022CA,22,CHILD SUPPORT ASSESSMENTS,CA,CHILD SUPPORT REFORM CONVERSION APPEALS,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022CC,22,CHILD SUPPORT ASSESSMENTS,CC,CONDITIONS OF ENTITLEMENT - COMPLEX,1,,,,84,Tribunal Judge,
022CC,22,CHILD SUPPORT ASSESSMENTS,CC,CONDITIONS OF ENTITLEMENT - COMPLEX,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022CE,22,CHILD SUPPORT ASSESSMENTS,CE,CONDITIONS OF ENTITLEMENT,1,,,,84,Tribunal Judge,
022CE,22,CHILD SUPPORT ASSESSMENTS,CE,CONDITIONS OF ENTITLEMENT,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022CP,22,CHILD SUPPORT ASSESSMENTS,CP,CIVIL PENALTIES,1,,,,84,Tribunal Judge,
022CP,22,CHILD SUPPORT ASSESSMENTS,CP,CIVIL PENALTIES,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022DD,22,CHILD SUPPORT ASSESSMENTS,DD,APPEAL DIRECTLY LODGED,1,,,,84,Tribunal Judge,
022DD,22,CHILD SUPPORT ASSESSMENTS,DD,APPEAL DIRECTLY LODGED,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022EC,22,CHILD SUPPORT ASSESSMENTS,EC,ECHR,1,,,,84,Tribunal Judge,
022EC,22,CHILD SUPPORT ASSESSMENTS,EC,ECHR,2,Yes,,,"84, 50","Tribunal Judge, Tribunal Member Financially Qualified",If FQPM 'Yes'
022EX,22,CHILD SUPPORT ASSESSMENTS,EX,EX LEGISLATION,1,,,,84,Tribunal Judge,
